drug_name,ndc_code,hcpcs_code,numerator_strength,mbu_increment,mbu_increments_per_bottle,mbus_per_package,package_quantity,ndc_unit_sum
Cerezyme,58468-4663-01,J1786,40,10,40,400,1,400
Cinvanti,47426-0201-01,J0185,130,1,130,130,1,130
Cisplatin,00703-5747-11,J9060,50,10,5,50,1,50
Cisplatin,00703-5748-11,J9060,100,10,10,100,1,100
Cisplatin,16729-0288-11,J9060,1,10,5,50,50,2500
Cisplatin,16729-0288-38,J9060,1,10,10,100,100,10000
Cisplatin,44567-0509-01,J9060,1,10,5,50,1,50
Cisplatin,44567-0510-01,J9060,1,10,10,100,1,100
Cisplatin,44567-0511-01,J9060,1,10,20,200,1,200
Cisplatin,44567-0530-01,J9060,1,10,5,50,1,50
Cisplatin,47781-0609-25,J9060,50,10,5,50,1,50
Cisplatin,47781-0610-23,J9060,100,10,10,100,1,100
Cisplatin,63323-0103-51,J9060,1,10,5,50,1,50
Cisplatin,63323-0103-64,J9060,1,10,20,200,1,200
Cisplatin,63323-0103-65,J9060,1,10,10,100,1,100
Cisplatin,68001-0283-27,J9060,1,10,5,50,1,50
Cisplatin,68001-0283-32,J9060,1,10,10,100,1,100
Cisplatin,68083-0162-01,,1,,,,1,
Cisplatin,68083-0163-01,,1,,,,1,
Cisplatin,70860-0206-50,J9060,1,10,5,50,1,50
Cisplatin,70860-0206-51,J9060,1,10,10,100,1,100
Cyanocobalamin,00143-9619-10,J3420,1000,1000,30,30000,10,300000
Cyanocobalamin,00143-9620-10,J3420,1000,1000,10,10000,10,100000
Cyanocobalamin,00143-9621-25,J3420,1000,1000,1,1000,25,25000
Cyanocobalamin,00517-0031-25,J3420,1000,1000,1,1000,25,25000
Cyanocobalamin,00517-0032-25,J3420,1000,1000,10,10000,25,250000
Cyanocobalamin,00517-0130-01,,1000,,,,1,
Cyanocobalamin,52584-0032-25,,1000,,,,1,
Cyanocobalamin,52584-0080-01,,1000,,,,1,
Cyanocobalamin,52584-0130-05,,1000,,,,1,
Cyanocobalamin,52584-0399-10,,1000,,,,1,
Cyanocobalamin,63323-0044-01,J3420,1000,1000,1,1000,25,25000
Cyanocobalamin,63323-0044-44,J3420,1000,1000,1,1000,25,25000
Cyanocobalamin,69680-0112-10,,1000,,,,10,
Cyanocobalamin,69680-0112-25,,1000,,,,25,
Cyanocobalamin,69680-0113-99,,1000,,,,10,
Cyanocobalamin,70069-0005-10,,1000,,,,25,
Cyanocobalamin,70069-0171-05,,1000,,,,5,
Cyanocobalamin,70069-0171-10,,1000,,,,10,
Cyanocobalamin,70069-0172-10,,1000,,,,10,
Cyanocobalamin,70069-0172-25,,1000,,,,25,
Cyanocobalamin,70104-0825-03,,1,,,,1,
Cyanocobalamin,72843-0487-25,,1000,,,,25,
Cyanocobalamin,72843-0497-99,,1000,,,,10,
Cyclophosphamide,00781-3233-94,J9070,500,100,5,500,1,500
Cyclophosphamide,00781-3244-94,J9070,1,100,10,1000,1,1000
Cyclophosphamide,00781-3255-94,J9070,2,100,20,2000,1,2000
Cyclophosphamide,10019-0935-01,J9070,500,100,5,500,1,500
Cyclophosphamide,10019-0936-01,J9070,1,100,10,1000,1,1000
Cyclophosphamide,10019-0937-01,J9070,2,100,20,2000,1,2000
Cyclophosphamide,10019-0938-01,J9070,500,100,5,500,1,500
Cyclophosphamide,10019-0939-01,J9070,1,100,10,1000,1,1000
Cyclophosphamide,10019-0942-01,J9070,2,100,20,2000,1,2000
Cyclophosphamide,10019-0943-01,J9070,500,100,5,500,1,500
Cyclophosphamide,10019-0944-01,J9070,1,100,10,1000,1,1000
Cyclophosphamide,10019-0945-01,J9070,2,100,20,2000,1,2000
Cyclophosphamide,10019-0955-01,J9070,500,100,5,500,1,500
Cyclophosphamide,10019-0956-01,J9070,1,100,10,1000,1,1000
Cyclophosphamide,10019-0957-01,J9070,2,100,20,2000,1,2000
Cyclophosphamide,10019-0988-01,,500,,,,1,
Cyclophosphamide,10019-0989-01,,1,,,,1,
Cyclophosphamide,10019-0990-01,,2,,,,1,
Cyclophosphamide,16714-0857-01,,1,,,,1,
Cyclophosphamide,16714-0858-01,,2,,,,1,
Cyclophosphamide,16714-0859-01,,500,,,,1,
Cyclophosphamide,68001-0370-27,J9070,500,100,5,500,1,500
Cyclophosphamide,68001-0371-32,J9070,1,100,10,1000,1,1000
Cyclophosphamide,68001-0372-32,J9070,2,100,20,2000,1,2000
Cyclophosphamide,70121-1238-01,J9070,500,100,5,500,1,500
Cyclophosphamide,70121-1239-01,J9070,1,100,10,1000,1,1000
Cyclophosphamide,70121-1240-01,J9070,2,100,20,2000,1,2000
Cyclophosphamide,72603-0104-01,,500,,,,1,
Cyclophosphamide,72603-0326-01,,1,,,,1,
Cyclophosphamide,72603-0411-01,,2,,,,1,
Cyramza,00002-7669-01,J9308,10,5,20,100,1,100
Cyramza,00002-7678-01,J9308,10,5,100,500,1,500
Dacarbazine,00703-5075-01,J9130,200,100,2,200,1,200
Dacarbazine,00703-5075-03,J9130,200,100,2,200,10,2000
Dacarbazine,61703-0327-22,J9130,10,100,2,200,1,200
Dacarbazine,63323-0127-10,J9130,10,100,1,100,10,1000
Dacarbazine,63323-0128-20,J9130,10,100,2,200,10,2000
Darzalex,57894-0502-05,J9145,100,10,10,100,1,100
Darzalex,57894-0502-20,J9145,100,10,40,400,1,400
Decitabine,00781-3139-80,,50,,,,1,
Decitabine,16714-0749-01,J0894,50,1,50,50,1,50
Decitabine,16714-0928-01,J0894,50,1,50,50,1,50
Decitabine,16729-0224-05,J0894,50,1,50,50,1,50
Decitabine,25021-0231-20,J0894,50,1,50,50,1,50
Decitabine,43598-0348-37,J0894,50,1,50,50,1,50
Decitabine,43598-0427-37,J0894,50,1,50,50,1,50
Decitabine,55111-0556-10,J0894,50,1,50,50,1,50
Decitabine,64679-0067-02,,50,,,,1,
Decitabine,67457-0316-25,J0894,50,1,50,50,1,50
Decitabine,68001-0347-36,J0894,50,1,50,50,1,50
Decitabine,69097-0285-37,J0894,50,1,50,50,1,50
Decitabine,69539-0115-01,,50,,,,1,
Dexferrum,00517-0134-10,,50,,,,10,
Dexferrum,00517-0234-10,,50,,,,10,
Diphenhydramine,42571-0169-55,,50,,,,10,
Diphenhydramine,63323-0664-01,J1200,50,50,1,50,25,1250
Diphenhydramine,63323-0664-16,J1200,50,50,1,50,25,1250
Docetaxel,00409-0201-02,J9171,10,1,20,20,1,20
Docetaxel,00409-0201-10,J9171,10,1,80,80,1,80
Docetaxel,00409-0201-20,J9171,10,1,160,160,1,160
Docetaxel,00409-0366-01,J9171,20,1,20,20,1,20
Docetaxel,00409-0367-01,J9171,20,1,80,80,1,80
Docetaxel,00409-0368-01,J9171,20,1,160,160,1,160
Docetaxel,00955-1020-01,J9171,20,1,20,20,1,20
Docetaxel,00955-1021-04,J9171,80,1,80,80,1,80
Docetaxel,00955-1022-08,J9171,160,1,160,160,1,160
Docetaxel,16729-0231-63,,20,,,,1,
Docetaxel,16729-0231-64,,20,,,,1,
Docetaxel,16729-0231-65,,20,,,,1,
Docetaxel,16729-0267-63,J9171,20,1,20,20,1,20
Docetaxel,16729-0267-64,J9171,20,1,80,80,1,80
Docetaxel,16729-0267-65,J9171,20,1,160,160,1,160
Docetaxel,25021-0245-01,J9171,20,1,20,20,1,20
Docetaxel,25021-0245-04,J9171,20,1,80,80,1,80
Docetaxel,39822-2120-01,J9171,20,1,20,20,1,20
Docetaxel,39822-2180-01,J9171,20,1,80,80,1,80
Docetaxel,39822-2200-01,J9171,20,1,200,200,1,200
Docetaxel,42367-0121-21,J9171,20,1,20,20,1,20
Docetaxel,42367-0121-25,J9171,20,1,80,80,1,80
Docetaxel,42367-0121-29,J9171,20,1,160,160,1,160
Docetaxel,43066-0001-01,J9171,10,1,20,20,1,20
Docetaxel,43066-0006-01,J9171,10,1,80,80,1,80
Docetaxel,43066-0010-01,J9171,10,1,160,160,1,160
Docetaxel,43598-0258-11,J9171,20,1,20,20,1,20
Docetaxel,43598-0259-40,J9171,80,1,80,80,4,320
Docetaxel,43598-0389-57,,160,,,,8,
Docetaxel,43598-0610-40,J9171,80,1,80,80,4,320
Docetaxel,43598-0611-11,J9171,20,1,20,20,1,20
Docetaxel,45963-0734-54,J9171,20,1,20,20,1,20
Docetaxel,45963-0765-52,J9171,20,1,80,80,1,80
Docetaxel,45963-0790-56,J9171,20,1,160,160,1,160
Docetaxel,50742-0428-02,J9171,10,1,20,20,1,20
Docetaxel,50742-0431-08,J9171,10,1,80,80,1,80
Docetaxel,50742-0463-16,J9171,10,1,160,160,1,160
Docetaxel,57884-3021-00,,40,,,,1,
Docetaxel,57884-3041-01,,20,,,,1,
Docetaxel,57884-3042-01,,80,,,,1,
Docetaxel,57884-3043-01,,160,,,,1,
Docetaxel,63739-0932-11,J9171,20,1,20,20,1,20
Docetaxel,63739-0971-17,J9171,20,1,80,80,1,80
Docetaxel,66758-0050-01,J9171,10,1,20,20,1,20
Docetaxel,66758-0050-02,J9171,10,1,80,80,1,80
Docetaxel,66758-0050-03,J9171,10,1,160,160,1,160
Docetaxel,66758-0950-02,J9171,10,1,20,20,1,20
Docetaxel,66758-0950-03,J9171,10,1,80,80,1,80
Docetaxel,66758-0950-04,J9171,10,1,160,160,1,160
Docetaxel,67457-0531-02,J9171,10,1,20,20,1,20
Docetaxel,67457-0532-08,J9171,10,1,80,80,1,80
Docetaxel,67457-0533-16,J9171,10,1,160,160,1,160
Docetaxel,67457-0781-08,J9171,20,1,160,160,1,160
Docetaxel,70121-1221-01,,20,,,,1,
Docetaxel,70121-1222-01,,80,,,,1,
Docetaxel,70121-1223-01,,160,,,,1,
Eligard,62935-0222-05,J9217,0,7.5,3,22.5,1,22.5
Eligard,62935-0223-05,J9217,0,7.5,3,22.5,1,22.5
Eligard,62935-0302-30,J9217,0,7.5,4,30,1,30
Eligard,62935-0303-30,J9217,0,7.5,4,30,1,30
Eligard,62935-0452-45,J9217,0,7.5,6,45,1,45
Eligard,62935-0453-45,J9217,0,7.5,6,45,1,45
Eligard,62935-0752-75,J9217,0,7.5,1,7.5,1,7.5
Eligard,62935-0753-75,J9217,0,7.5,1,7.5,1,7.5
Elitek,00024-5150-10,J2783,1.5,0.5,3,1.5,3,4.5
Elitek,00024-5151-75,J2783,7.5,0.5,15,7.5,1,7.5
Empliciti,00003-2291-11,J9176,300,1,300,300,1,300
Empliciti,00003-4522-11,J9176,400,1,400,400,1,400
Entyvio,64764-0300-20,J3380,300,1,300,300,1,300
Erbitux,66733-0948-23,J9055,2,10,10,100,1,100
Erbitux,66733-0958-23,J9055,2,10,20,200,1,200
Etoposide,00143-9510-01,J9181,20,10,10,100,1,100
Etoposide,00143-9511-01,J9181,20,10,50,500,1,500
Etoposide,00143-9512-01,J9181,20,10,100,1000,1,1000
Etoposide,16729-0114-08,J9181,20,10,50,500,1,500
Etoposide,16729-0114-11,J9181,20,10,100,1000,1,1000
Etoposide,16729-0114-31,J9181,20,10,10,100,1,100
Etoposide,16729-0262-31,J9181,20,10,10,100,1,100
Etoposide,63323-0104-05,J9181,20,10,10,100,10,1000
Etoposide,63323-0104-25,J9181,20,10,50,500,1,500
Etoposide,63323-0104-50,J9181,20,10,100,1000,1,1000
Etoposide,68001-0265-25,J9181,20,10,10,100,1,100
Etoposide,68001-0265-26,J9181,20,10,50,500,1,500
Etoposide,68001-0265-27,J9181,20,10,100,1000,1,1000
Evenity,55513-0880-02,J3111,105,1,1,105,2,210
Faslodex,00310-0720-10,J9395,50,25,10,250,2,500
Feraheme,59338-0775-01,Q0138,510,1,510,510,1,510
Feraheme,59338-0775-10,Q0138,510,1,510,510,10,5100
Ferrlecit,00024-2792-10,J2916,12.5,12.5,5,62.5,10,625
Ferrlecit,00024-2794-10,J2916,12.5,12.5,5,62.5,10,625
Fluorouracil,16729-0276-11,J9190,50,500,5,2500,1,2500
Fluorouracil,16729-0276-38,J9190,50,500,10,5000,1,5000
Fluorouracil,16729-0276-67,J9190,50,500,2,1000,10,10000
Fluorouracil,16729-0276-68,J9190,50,500,1,500,10,5000
Fluorouracil,25021-0215-98,J9190,50,500,5,2500,1,2500
Fluorouracil,25021-0215-99,J9190,50,500,10,5000,1,5000
Fluorouracil,63323-0117-10,J9190,50,500,1,500,10,5000
Fluorouracil,63323-0117-18,J9190,50,500,1,500,10,5000
Fluorouracil,63323-0117-19,J9190,50,500,1,500,10,5000
Fluorouracil,63323-0117-20,J9190,50,500,2,1000,10,10000
Fluorouracil,63323-0117-28,J9190,50,500,2,1000,10,10000
Fluorouracil,63323-0117-51,J9190,50,500,5,2500,1,2500
Fluorouracil,63323-0117-58,J9190,50,500,5,2500,1,2500
Fluorouracil,63323-0117-59,J9190,50,500,5,2500,1,2500
Fluorouracil,63323-0117-61,J9190,50,500,10,5000,1,5000
Fluorouracil,63323-0117-68,J9190,50,500,10,5000,1,5000
Fluorouracil,63323-0117-69,J9190,50,500,10,5000,1,5000
Fluorouracil,66758-0044-03,,50,,,,10,
Fluorouracil,66758-0054-01,,50,,,,1,
Fluorouracil,66758-0054-02,,50,,,,1,
Fluorouracil,68001-0266-27,,50,,,,1,
Fluorouracil,68001-0266-30,,50,,,,10,
Fluorouracil,68001-0266-31,,50,,,,10,
Fluorouracil,68001-0266-32,,50,,,,1,
Fluorouracil,68083-0269-10,,50,,,,10,
Fluorouracil,68083-0270-10,,50,,,,10,
Fluorouracil,68083-0292-01,,50,,,,1,
Fluorouracil,68083-0293-01,,50,,,,1,
Fulphila,67457-0833-06,Q5108,6,0.5,12,6,1,6
Fulvestrant,00591-5019-02,,250,,,,2,
Fulvestrant,00781-3079-12,J9395,50,25,10,250,2,500
Fulvestrant,25021-0462-74,,50,,,,2,
Fulvestrant,63323-0715-05,,50,,,,2,
Fulvestrant,68462-0317-32,,50,,,,2,
Fulvestrant,70121-1463-02,,250,,,,2,
Furosemide,00409-1639-10,J1940,10,20,5,100,10,1000
Furosemide,00409-6102-02,,10,,,,25,
Furosemide,00409-6102-04,,10,,,,25,
Furosemide,00409-6102-10,,10,,,,25,
Furosemide,00409-6102-25,,10,,,,25,
Furosemide,00409-6102-26,,10,,,,25,
Furosemide,00409-6102-27,,10,,,,25,
Furosemide,00409-9631-04,J1940,10,20,2,40,10,400
Furosemide,21695-0721-25,,10,,,,25,
Furosemide,23155-0473-41,J1940,10,20,1,20,25,500
Furosemide,23155-0473-42,J1940,10,20,2,40,25,1000
Furosemide,23155-0473-43,,10,,,,50,
Furosemide,23155-0473-44,J1940,10,20,5,100,25,2500
Furosemide,23155-0473-45,,10,,,,50,
Furosemide,23155-0521-41,J1940,10,20,1,20,25,500
Furosemide,23155-0521-42,J1940,10,20,2,40,25,1000
Furosemide,23155-0521-43,,10,,,,50,
Furosemide,23155-0521-44,J1940,10,20,5,100,25,2500
Furosemide,23155-0521-45,,10,,,,50,
Furosemide,36000-0063-05,,10,,,,5,
Furosemide,36000-0064-05,,10,,,,5,
Furosemide,36000-0065-05,,10,,,,5,
Furosemide,36000-0282-25,J1940,10,20,1,20,25,500
Furosemide,36000-0283-25,J1940,10,20,2,40,25,1000
Furosemide,36000-0284-25,J1940,10,20,5,100,25,2500
Furosemide,51662-1226-01,,10,,,,10,
Furosemide,51662-1227-01,,10,,,,2,
Furosemide,51662-1336-01,,10,,,,4,
Furosemide,52584-0052-10,,10,,,,1,
Furosemide,52584-0091-25,,10,,,,1,
Furosemide,52584-0102-02,,10,,,,1,
Furosemide,52584-0102-04,,10,,,,1,
Furosemide,52584-0102-10,,10,,,,1,
Furosemide,52584-0283-25,,10,,,,1,
Furosemide,52584-0284-25,,10,,,,1,
Furosemide,55150-0322-25,,20,,,,25,
Furosemide,55150-0323-25,,40,,,,25,
Furosemide,55150-0324-25,,100,,,,25,
Furosemide,55154-2364-05,,10,,,,5,
Furosemide,55154-2365-05,,10,,,,5,
Furosemide,55154-2391-08,,10,,,,1,
Furosemide,55154-4452-05,,10,,,,5,
Furosemide,55154-7830-05,,10,,,,5,
Furosemide,63323-0280-02,J1940,10,20,1,20,25,500
Furosemide,63323-0280-04,J1940,10,20,2,40,25,1000
Furosemide,63323-0280-10,J1940,10,20,5,100,25,2500
Furosemide,63323-0280-16,J1940,10,20,1,20,25,500
Furosemide,63323-0280-26,J1940,10,20,2,40,25,1000
Furosemide,63323-0280-36,J1940,10,20,5,100,25,2500
Furosemide,64679-0759-01,,10,,,,25,
Furosemide,64679-0759-02,,10,,,,25,
Furosemide,64679-0759-03,,10,,,,25,
Furosemide,64679-0759-04,,10,,,,1,
Furosemide,64679-0759-05,,10,,,,1,
Furosemide,64679-0759-06,,10,,,,1,
Furosemide,64679-0759-07,,10,,,,10,
Furosemide,64679-0759-08,,10,,,,10,
Furosemide,64679-0759-09,,10,,,,10,
Furosemide,70121-1076-05,J1940,100,20,5,100,25,2500
Furosemide,70121-1163-05,J1940,20,20,1,20,25,500
Furosemide,70121-1164-05,J1940,40,20,2,40,25,1000
Furosemide,71872-7059-01,,10,,,,1,
Furosemide,71872-7127-01,,10,,,,1,
Gammagard,00944-2623-02,,0,,,,1,
Gammagard,00944-2625-03,,0,,,,1,
Gammagard,00944-2627-04,,0,,,,1,
Gammagard,00944-2656-03,J1566,0,500,10,5000,1,5000
Gammagard,00944-2658-04,J1566,0,500,20,10000,1,10000
Gazyva,50242-0070-01,J9301,1000,10,100,1000,1,1000
Gazyva,50242-0070-86,J9301,1000,10,100,1000,1,1000
Gemcitabine,00409-0181-01,J9201,38,200,5,1000,1,1000
Gemcitabine,00409-0181-25,J9201,38,200,5,1000,1,1000
Gemcitabine,00409-0182-01,J9201,38,200,10,2000,1,2000
Gemcitabine,00409-0182-25,J9201,38,200,10,2000,1,2000
Gemcitabine,00409-0183-01,J9201,38,200,1,200,1,200
Gemcitabine,00409-0183-25,J9201,38,200,1,200,1,200
Gemcitabine,00409-0185-01,J9201,38,200,1,200,1,200
Gemcitabine,00409-0186-01,J9201,38,200,5,1000,1,1000
Gemcitabine,00409-0187-01,J9201,38,200,10,2000,1,2000
Gemcitabine,16714-0909-01,J9201,200,200,1,200,1,200
Gemcitabine,16714-0930-01,J9201,1,200,5,1000,1,1000
Gemcitabine,16729-0391-30,J9201,100,200,1,200,2,400
Gemcitabine,16729-0419-03,J9201,100,200,5,1000,10,10000
Gemcitabine,16729-0423-33,J9201,100,200,7.5,1500,15,22500
Gemcitabine,16729-0426-05,J9201,100,200,10,2000,20,40000
Gemcitabine,25021-0234-10,J9201,200,200,1,200,1,200
Gemcitabine,25021-0235-50,J9201,1,200,5,1000,1,1000
Gemcitabine,25021-0239-05,J9201,38,200,1,200,1,200
Gemcitabine,25021-0239-26,J9201,38,200,5,1000,1,1000
Gemcitabine,25021-0239-52,J9201,38,200,10,2000,1,2000
Gemcitabine,45963-0623-57,J9201,38,200,1,200,1,200
Gemcitabine,45963-0624-58,J9201,38,200,5,1000,1,1000
Gemcitabine,45963-0636-60,J9201,38,200,10,2000,1,2000
Gemcitabine,50742-0496-26,,38,,,,1,
Gemcitabine,50742-0497-53,,38,,,,1,
Gemcitabine,50742-0498-05,,38,,,,1,
Gemcitabine,55111-0686-07,J9201,200,200,1,200,1,200
Gemcitabine,55111-0687-25,J9201,1,200,5,1000,1,1000
Gemcitabine,55390-0391-10,,40,,,,1,
Gemcitabine,55390-0391-50,,40,,,,1,
Gemcitabine,60505-6113-06,J9201,38,200,1,200,1,200
Gemcitabine,60505-6114-00,J9201,38,200,5,1000,1,1000
Gemcitabine,60505-6115-02,J9201,38,200,10,2000,1,2000
Gemcitabine,63323-0102-13,J9201,200,200,1,200,1,200
Gemcitabine,63323-0102-94,J9201,200,200,1,200,1,200
Gemcitabine,63323-0125-53,J9201,1,200,5,1000,1,1000
Gemcitabine,63323-0125-94,J9201,1,200,5,1000,1,1000
Gemcitabine,63323-0126-00,J9201,2,200,10,2000,1,2000
Gemcitabine,63323-0126-03,,2,,,,1,
Gemcitabine,67457-0616-10,J9201,38,200,1,200,1,200
Gemcitabine,67457-0617-30,J9201,38,200,5,1000,1,1000
Gemcitabine,67457-0618-10,J9201,38,200,10,2000,1,2000
Gemcitabine,68001-0342-34,,100,,,,1,
Gemcitabine,68001-0348-36,J9201,100,200,5,1000,1,1000
Gemcitabine,68001-0350-68,,100,,,,1,
Gemcitabine,68001-0359-37,J9201,100,200,10,2000,1,2000
Gemcitabine,70860-0204-10,,200,,,,1,
Gemcitabine,70860-0205-50,J9201,1,200,5,1000,1,1000
Gemcitabine,71288-0113-10,,200,,,,1,
Gemcitabine,71288-0114-50,,1,,,,1,
Granisetron,63323-0318-01,J1626,1,100,10,1000,1,1000
Granisetron,63323-0319-04,J1626,1,100,40,4000,1,4000
Granisetron,66758-0035-01,J1626,1,100,10,1000,1,1000
Granisetron,66758-0036-01,J1626,1,100,40,4000,1,4000
Granix,63459-0910-11,J1447,300,1,300,300,1,300
Granix,63459-0910-15,J1447,300,1,300,300,10,3000
